team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
team,date,player,dismissal,runs,balls,strikeRate,fours,sixes
Batsmen,,Runs,Balls,SR,4s,6s
,Shubman Gill,run out (Shreyas Iyer),37,29,127.58,3,1
,Andre Russell,b Avesh Khan,44,30,146.66,3,4
,Shivam Mavi,b Amit Mishra,0,3,0.00,0,0
,Piyush Chawla,c Colin Munro b Glenn Maxwell,2,4,50.00,0,0
,Mitchell Johnson,NOT OUT,12,6,200.00,2,0
,Kuldeep Yadav,NOT OUT,7,6,116.66,1,0
EXTRAS,|(nb 0, w 3, b 0, lb 1, pen 0)|,4,,,,
TOTAL,(9 wickets; 20 overs),164,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Shikhar Dhawan,c Karun Nair b Ankit Rajpoot,11,8,137.50,2,0
,Kane Williamson,c Ravichandran Ashwin b Ankit Rajpoot,0,3,0.00,0,0
,Wriddhiman Saha,c Andrew Tye b Ankit Rajpoot,6,9,66.66,1,0
,Manish Pandey,b Ankit Rajpoot,54,51,105.88,3,1
,Shakib Al Hasan,c Mayank Agarwal b Mujeeb Ur Rahman,28,29,96.55,3,0
,Yusuf Pathan,NOT OUT,21,19,110.52,1,1
,Mohammad Nabi,c Mayank Agarwal b Ankit Rajpoot,4,2,200.00,1,0
EXTRAS,|(nb 1, w 5, b 1, lb 1, pen 0)|,8,,,,
TOTAL,(6 wickets; 20 overs),132,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Lokesh Rahul,b Rashid Khan,32,26,123.07,4,1
,Chris Gayle,c & b Basil Thampi,23,22,104.54,1,2
,Mayank Agarwal,c Manish Pandey b Shakib Al Hasan,12,15,80.00,0,0
,Karun Nair,lbw Rashid Khan,13,17,76.47,0,0
,Aaron Finch,c Manish Pandey b Shakib Al Hasan,8,4,200.00,0,1
,Manoj Tiwary,c Kane Williamson b Sandeep Sharma,1,5,20.00,0,0
,Ravichandran Ashwin,c Kane Williamson b Rashid Khan,4,6,66.66,0,0
,Andrew Tye,lbw Sandeep Sharma,4,2,200.00,1,0
,Barinder Sran,run out (Wriddhiman Saha),2,5,40.00,0,0
,Ankit Rajpoot,b Basil Thampi,8,9,88.88,1,0
,Mujeeb Ur Rahman,NOT OUT,10,5,200.00,2,0
EXTRAS,|(nb 0, w 0, b 1, lb 1, pen 0)|,2,,,,
TOTAL,(All out; 19.2 overs),119,,,,
Batsmen,,Runs,Balls,SR,4s,6s
,Quinton de Kock,c & b Dwayne Bravo,53,37,143.24,1,4
,Virat Kohli,c Ravindra Jadeja b Shardul Thakur,18,15,120.00,3,0
