DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,W
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,W, ,Shivam Mavi,3,21,0,7.00,7
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,W, ,Kuldeep Yadav,4,20,1,5.00,11
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 8.75),Match 29,W, ,Andre Russell,3,31,3,10.33,4
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W, ,Tim Southee,4,34,0,8.50,7
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W, ,Umesh Yadav,3.1,36,0,11.36,7
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W, ,Yuzvendra Chahal,4,29,0,7.25,10
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W, ,Mohammed Siraj,4,40,2,10.00,8
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 9.18),Match 29,W, ,Murugan Ashwin,4,36,2,9.00,8
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Krishnappa Gowtham,4,18,2,4.50,10
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Dhawal Kulkarni,2,20,0,10.00,4
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Jofra Archer,4,26,3,6.50,9
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Jaydev Unadkat,3,33,1,11.00,4
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Ish Sodhi,3,25,1,8.33,3
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Ben Stokes,3,20,0,6.66,7
SUNRISERS HYDERABAD INNINGS (RUN RATE: 7.55),Match 28,W, ,Mahipal Lomror,1,8,0,8.00,1
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Sandeep Sharma,4,15,1,3.75,14
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Shakib Al Hasan,4,30,0,7.50,4
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Basil Thampi,2,26,1,13.00,2
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Siddarth Kaul,4,23,2,5.75,8
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Rashid Khan,4,31,1,7.75,4
RAJASTHAN ROYALS INNINGS (RUN RATE: 7.00),Match 28,W, ,Yusuf Pathan,2,14,1,7.00,2
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Mitchell McClenaghan,4,26,2,6.50,10
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Jasprit Bumrah,4,25,0,6.25,12
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Hardik Pandya,4,39,1,9.75,8
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Krunal Pandya,4,32,2,8.00,9
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Mayank Markande,3,30,0,10.00,5
CHENNAI SUPER KINGS INNINGS (RUN RATE: 8.45),Match 27,W, ,Ben Cutting,1,14,0,14.00,1
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Deepak Chahar,2.1,19,0,8.76,6
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Shardul Thakur,4,38,0,9.50,9
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Shane Watson,4,41,0,10.25,8
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Harbhajan Singh,3.5,20,1,5.21,7
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Imran Tahir,2.4,26,0,9.75,5
MUMBAI INDIANS INNINGS (RUN RATE: 8.64),Match 27,W, ,Dwayne Bravo,3,21,1,7.00,5
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Piyush Chawla,4,33,1,8.25,10
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Kuldeep Yadav,2,22,0,11.00,2
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Shivam Mavi,4,58,1,14.50,8
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Sunil Narine,3,35,0,11.66,4
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Mitchell Johnson,4,42,0,10.50,9
DELHI DAREDEVILS INNINGS (RUN RATE: 10.95),Match 26,W, ,Andre Russell,3,28,1,9.33,6
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Trent Boult,4,44,2,11.00,9
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Glenn Maxwell,2,22,2,11.00,3
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Avesh Khan,4,29,2,7.25,12
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Liam Plunkett,4,24,0,6.00,9
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Amit Mishra,4,23,2,5.75,10
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Vijay Shankar,1,10,0,10.00,1
KOLKATA KNIGHT RIDERS INNINGS (RUN RATE: 8.20),Match 26,W, ,Rahul Tewatia,1,11,0,11.00,3
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Ankit Rajpoot,4,14,5,3.50,17
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Barinder Sran,3,27,0,9.00,9
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Ravichandran Ashwin,4,34,0,8.50,8
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Manoj Tiwary,1,10,0,10.00,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Mujeeb Ur Rahman,4,17,1,4.25,11
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.60),Match 25,W, ,Andrew Tye,4,28,0,7.00,8
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Sandeep Sharma,4,17,2,4.25,13
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Mohammad Nabi,2,24,0,12.00,4
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Siddarth Kaul,4,25,0,6.25,9
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Basil Thampi,2.2,14,2,6.00,6
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Rashid Khan,4,19,3,4.75,11
KINGS XI PUNJAB INNINGS (RUN RATE: 6.15),Match 25,W, ,Shakib Al Hasan,3,18,2,6.00,7
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Deepak Chahar,2,20,0,10.00,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Shardul Thakur,4,46,2,11.50,10
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Harbhajan Singh,2,24,0,12.00,6
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Ravindra Jadeja,2,22,0,11.00,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Shane Watson,2,21,0,10.50,2
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Imran Tahir,4,35,2,8.75,5
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 10.25),Match 24,W, ,Dwayne Bravo,4,33,2,8.25,12
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,W
